18.1.1.15. Magánszemélyek között létrejött lakástranzakciók száma;;;
Év;Használt lakás;Új lakás;Összesen
2007;184 767;6 403;191 170
2008;139 999;14 098;154 097
2009;82 876;8 261;91 137
2010;85 486;4 785;90 271
2011;83 862;3 868;87 730
2012;83 323;2 634;85 957
2013;86 418;2 295;88 713
2014;110 480;3 309;113 789
2015;130 732;3 369;134 101
2016;141 442;4 860;146 302
2017;147 673;6 097;153 770
2018;154 599;9 096;163 695
2019;145 786;11 233;157 019
2020;124 955;9 032;133 987
2021;148 728;11 950;160 678
2022;127 749;10 273;138 022
2023;96 057;5 786;101 843
